author,overall_score,total_entries,average_team_size,unique_events,unique_games,Overall_score,Fun_score,Innovation_score,Theme_score,Graphics_score,Audio_score,Humor_score,Mood_score,Overall_rank,Fun_rank,Innovation_rank,Theme_rank,Graphics_rank,Audio_rank,Humor_rank,Mood_rank,game_link,ludum_events,rank
368179,4.65762,1,3.0,1,1,4.667,4.469,4.573,4.771,4.917,4.585,4.649,5.0,1.0,9.0,5.0,1.0,1.0,7.0,7.0,0.0,{'/events/ludum-dare/53/neo-city-express'},{53},1
314421,4.65762,1,3.0,1,1,4.667,4.469,4.573,4.771,4.917,4.585,4.649,5.0,1.0,9.0,5.0,1.0,1.0,7.0,7.0,0.0,{'/events/ludum-dare/53/neo-city-express'},{53},1
387582,4.55888,1,6.0,1,1,4.664,4.661,4.143,4.118,4.42,4.309,4.664,4.472,1.0,1.0,50.0,227.0,107.0,26.0,3.0,18.0,{'/events/ludum-dare/55/would-you-still-love-me-if-i-was-a-worm'},{55},3
385512,4.55888,1,6.0,1,1,4.664,4.661,4.143,4.118,4.42,4.309,4.664,4.472,1.0,1.0,50.0,227.0,107.0,26.0,3.0,18.0,{'/events/ludum-dare/55/would-you-still-love-me-if-i-was-a-worm'},{55},3
141248,4.55888,1,6.0,1,1,4.664,4.661,4.143,4.118,4.42,4.309,4.664,4.472,1.0,1.0,50.0,227.0,107.0,26.0,3.0,18.0,{'/events/ludum-dare/55/would-you-still-love-me-if-i-was-a-worm'},{55},3
387667,4.55888,1,6.0,1,1,4.664,4.661,4.143,4.118,4.42,4.309,4.664,4.472,1.0,1.0,50.0,227.0,107.0,26.0,3.0,18.0,{'/events/ludum-dare/55/would-you-still-love-me-if-i-was-a-worm'},{55},3
59361,4.555314999999999,2,2.0,2,2,4.621499999999999,4.4245,4.112500000000001,4.5215,4.8934999999999995,4.461,3.991,4.761,1.0,9.0,232.0,50.5,1.5,22.5,194.0,6.5,"{'/events/ludum-dare/47/chamber', '/events/ludum-dare/53/neo-city-express'}","{53, 47}",7
245332,4.548799999999999,1,12.0,1,1,4.606,4.5,3.938,3.818,4.848,4.719,4.516,4.682,3.0,6.0,190.0,682.0,1.0,1.0,9.0,4.0,{'/events/ludum-dare/48/jam-a-llamas-game-ldjam-48'},{48},8
127712,4.548799999999999,1,12.0,1,1,4.606,4.5,3.938,3.818,4.848,4.719,4.516,4.682,3.0,6.0,190.0,682.0,1.0,1.0,9.0,4.0,{'/events/ludum-dare/48/jam-a-llamas-game-ldjam-48'},{48},8
127675,4.548799999999999,1,12.0,1,1,4.606,4.5,3.938,3.818,4.848,4.719,4.516,4.682,3.0,6.0,190.0,682.0,1.0,1.0,9.0,4.0,{'/events/ludum-dare/48/jam-a-llamas-game-ldjam-48'},{48},8
