author,count,file_name,team_size,ludum_dare_version,game_link,id,cool,feedback,given,grade,grade-01-average,grade-01-result,grade-02-average,grade-02-result,grade-03-average,grade-03-result,grade-04-average,grade-04-result,grade-05-average,grade-05-result,grade-06-average,grade-06-result,grade-07-average,grade-07-result,grade-08-average,grade-08-result,smart
1083,6,ludum_dare_games_50.csv,3,50,/events/ludum-dare/50/shotgun-king,285284,57.336724705899,23,32.875,243.0,4.624,1,4.599,1.0,4.618,2.0,3.629,729.0,4.523,68.0,4.369,25.0,3.844,216.0,4.282,59.0,-69.235920760917
1083,6,ludum_dare_games_56.csv,2,56,/events/ludum-dare/56/combo-critters,397265,54.402585008484,2,8.25,28.875,4.143,73,4.0,99.0,3.911,114.0,4.167,143.0,4.554,48.0,4.481,5.0,3.16,475.0,4.2,75.0,-43.400855099541
1083,6,ludum_dare_games_52.csv,3,52,/events/ludum-dare/52/furious-farm-total-reap-out,320830,59.665735560705,10,22.25,63.5,4.406,9,4.297,14.0,3.742,135.0,4.617,2.0,4.648,11.0,4.397,11.0,3.625,130.0,4.149,60.0,-44.951811743682
1083,6,ludum_dare_games_53.csv,3,53,/events/ludum-dare/53/super-fetch-dog,343733,62.669709167427,16,16.25,42.375,4.305,32,4.171,60.0,4.244,40.0,4.427,70.0,4.402,130.0,4.1,98.0,2.947,675.0,4.25,72.0,-31.400565942996
1083,6,ludum_dare_games_54.csv,3,54,/events/ludum-dare/54/devolved,380370,116.6719109373,32,38.625,29.375,4.0,160,3.722,327.0,4.37,28.0,3.768,471.0,4.089,281.0,3.661,295.0,3.944,106.0,3.759,373.0,-0.59940599951426
1083,6,ludum_dare_games_51.csv,3,51,/events/ludum-dare/51/the-turgenev-study,303341,67.115605521402,16,18.75,42.625,4.345,19,4.238,29.0,4.31,20.0,4.298,65.0,4.614,21.0,4.357,26.0,2.344,847.0,4.256,53.0,-27.390039913763
286850,7,ludum_dare_games_50.csv,3,50,/events/ludum-dare/50/shotgun-king,285284,57.336724705899,23,32.875,243.0,4.624,1,4.599,1.0,4.618,2.0,3.629,729.0,4.523,68.0,4.369,25.0,3.844,216.0,4.282,59.0,-69.235920760917
286850,7,ludum_dare_games_56.csv,2,56,/events/ludum-dare/56/build-the-sun,404563,55.673580011638,12,17.125,56.25,4.355,13,4.018,95.0,4.182,30.0,4.5,16.0,4.679,25.0,4.37,14.0,3.36,369.0,4.25,54.0,-41.683538202329
286850,7,ludum_dare_games_56.csv,2,56,/events/ludum-dare/56/combo-critters,397265,54.402585008484,2,8.25,28.875,4.143,73,4.0,99.0,3.911,114.0,4.167,143.0,4.554,48.0,4.481,5.0,3.16,475.0,4.2,75.0,-43.400855099541
286850,7,ludum_dare_games_52.csv,3,52,/events/ludum-dare/52/furious-farm-total-reap-out,320830,59.665735560705,10,22.25,63.5,4.406,9,4.297,14.0,3.742,135.0,4.617,2.0,4.648,11.0,4.397,11.0,3.625,130.0,4.149,60.0,-44.951811743682
286850,7,ludum_dare_games_53.csv,3,53,/events/ludum-dare/53/super-fetch-dog,343733,62.669709167427,16,16.25,42.375,4.305,32,4.171,60.0,4.244,40.0,4.427,70.0,4.402,130.0,4.1,98.0,2.947,675.0,4.25,72.0,-31.400565942996
